id,SUS[SQ001],SUS[SQ002],SUS[SQ003],SUS[SQ004],SUS[SQ005],SUS[SQ006],SUS[SQ007],SUS[SQ008],SUS[SQ009],SUS[SQ010]
1,AO02,AO02,AO04,AO04,AO03,AO04,AO04,AO04,AO02,AO04
2,AO04,AO02,AO04,AO02,AO04,AO01,AO04,AO01,AO04,AO01
4,AO04,AO02,AO04,AO04,AO04,AO01,AO05,AO02,AO03,AO05
3,AO03,AO04,AO02,AO01,AO03,AO01,AO04,AO03,AO03,AO01
5,AO04,AO02,AO04,AO02,AO04,AO02,AO05,AO01,AO04,AO02
6,AO05,AO01,AO05,AO01,AO04,AO01,AO05,AO01,AO05,AO01
7,AO04,AO02,AO04,AO01,AO03,AO02,AO04,AO01,AO03,AO02
8,AO04,AO01,AO04,AO02,AO04,AO02,AO03,AO01,AO04,AO02
9,AO03,AO01,AO05,AO01,AO05,AO01,AO05,AO01,AO03,AO01
10,AO04,AO01,AO04,AO05,AO04,AO03,AO05,AO02,AO03,AO02
11,AO04,AO02,AO04,AO01,AO04,AO01,AO03,AO02,AO05,AO01
