id,UEQ[SQ010],UEQ[SQ011],UEQ[SQ012],UEQ[SQ013],UEQ[SQ014],UEQ[SQ015],UEQ[SQ016],UEQ[SQ017],UEQ[SQ018],UEQ[SQ019],UEQ[SQ020],UEQ[SQ021],UEQ[SQ022],UEQ[SQ023],UEQ[SQ024],UEQ[SQ025],UEQ[SQ026],UEQ[SQ027],UEQ[SQ028],UEQ[SQ029],UEQ[SQ030],UEQ[SQ031],UEQ[SQ032],UEQ[SQ033],UEQ[SQ034],UEQ[SQ035]
1,AO04,AO03,AO03,AO04,AO04,AO04,AO05,AO03,AO05,AO04,AO05,AO04,AO02,AO04,AO06,AO05,AO06,AO04,AO05,AO03,AO06,AO05,AO03,AO07,AO05,AO05
2,AO06,AO07,AO01,AO01,AO01,AO06,AO07,AO07,AO01,AO01,AO07,AO01,AO07,AO04,AO07,AO07,AO01,AO02,AO02,AO06,AO01,AO06,AO01,AO02,AO04,AO07
4,AO06,AO05,AO04,AO03,AO02,AO06,AO06,AO04,AO02,AO03,AO07,AO01,AO04,AO04,AO06,AO05,AO02,AO02,AO04,AO06,AO03,AO07,AO02,AO04,AO04,AO06
3,AO04,AO03,AO04,AO04,AO02,AO02,AO04,AO03,AO04,AO05,AO06,AO04,AO03,AO04,AO04,AO03,AO05,AO04,AO06,AO03,AO05,AO05,AO02,AO04,AO05,AO04
5,AO05,AO06,AO03,AO02,AO03,AO04,AO06,AO05,AO01,AO03,AO06,AO02,AO06,AO04,AO05,AO05,AO02,AO03,AO02,AO06,AO02,AO06,AO03,AO04,AO02,AO06
6,AO06,AO07,AO03,AO01,AO02,AO04,AO05,AO06,AO01,AO04,AO06,AO01,AO07,AO04,AO06,AO06,AO02,AO03,AO02,AO06,AO01,AO06,AO01,AO02,AO04,AO06
7,AO06,AO06,AO04,AO02,AO02,AO04,AO06,AO07,AO03,AO03,AO05,AO03,AO05,AO04,AO04,AO06,AO03,AO04,AO02,AO06,AO03,AO05,AO03,AO04,AO03,AO05
8,AO05,AO04,AO02,AO02,AO03,AO05,AO06,AO05,AO02,AO02,AO06,AO02,AO05,AO05,AO06,AO05,AO03,AO02,AO03,AO05,AO03,AO06,AO01,AO02,AO03,AO06
9,AO04,AO06,AO02,AO01,AO04,AO05,AO05,AO03,AO02,AO04,AO06,AO02,AO06,AO04,AO03,AO04,AO03,AO03,AO04,AO06,AO02,AO06,AO01,AO02,AO02,AO04
10,AO06,AO03,AO02,AO01,AO01,AO02,AO04,AO06,AO02,AO01,AO07,AO02,AO03,AO05,AO06,AO06,AO01,AO02,AO02,AO06,AO03,AO05,AO03,AO03,AO04,AO07
11,AO04,AO06,AO04,AO03,AO03,AO04,AO03,AO03,AO04,AO03,AO06,AO03,AO03,AO04,AO02,AO04,AO02,AO04,AO02,AO04,AO05,AO05,AO02,AO04,AO04,AO04
