id,UEQbt[SQ010],UEQbt[SQ011],UEQbt[SQ012],UEQbt[SQ013],UEQbt[SQ014],UEQbt[SQ015],UEQbt[SQ016],UEQbt[SQ017],UEQbt[SQ018],UEQbt[SQ019],UEQbt[SQ020],UEQbt[SQ021],UEQbt[SQ022],UEQbt[SQ023],UEQbt[SQ024],UEQbt[SQ025],UEQbt[SQ026],UEQbt[SQ027],UEQbt[SQ028],UEQbt[SQ029],UEQbt[SQ030],UEQbt[SQ031],UEQbt[SQ032],UEQbt[SQ033],UEQbt[SQ034],UEQbt[SQ035]
1,AO06,AO06,AO03,AO02,AO03,AO04,AO04,AO04,AO01,AO03,AO06,AO01,AO06,AO06,AO06,AO07,AO01,AO02,AO04,AO07,AO01,AO01,AO02,AO04,AO02,AO05
2,AO06,AO06,AO02,AO02,AO02,AO06,AO05,AO04,AO02,AO02,AO06,AO02,AO05,AO04,AO06,AO06,AO02,AO04,AO02,AO06,AO04,AO04,AO04,AO02,AO04,AO06
4,AO06,AO05,AO03,AO02,AO02,AO05,AO05,AO05,AO02,AO04,AO06,AO02,AO05,AO04,AO05,AO05,AO02,AO03,AO04,AO06,AO02,AO06,AO02,AO04,AO03,AO05
3,AO04,AO05,AO04,AO02,AO03,AO03,AO04,AO05,AO04,AO04,AO05,AO04,AO05,AO04,AO05,AO03,AO05,AO04,AO03,AO05,AO03,AO04,AO03,AO04,AO03,AO05
5,AO04,AO06,AO02,AO02,AO03,AO04,AO05,AO06,AO02,AO03,AO06,AO02,AO06,AO05,AO07,AO06,AO02,AO03,AO02,AO06,AO02,AO06,AO02,AO03,AO03,AO06
6,AO04,AO07,AO03,AO01,AO03,AO04,AO04,AO04,AO04,AO03,AO04,AO02,AO03,AO04,AO06,AO04,AO02,AO04,AO04,AO03,AO01,AO04,AO02,AO04,AO04,AO05
7,AO05,AO05,AO03,AO02,AO02,AO04,AO05,AO06,AO03,AO05,AO06,AO02,AO05,AO04,AO05,AO06,AO02,AO03,AO02,AO06,AO05,AO05,AO03,AO03,AO02,AO05
8,AO06,AO06,AO01,AO03,AO02,AO06,AO06,AO04,AO02,AO02,AO06,AO01,AO04,AO06,AO06,AO05,AO01,AO02,AO02,AO06,AO02,AO06,AO02,AO02,AO02,AO07
9,AO02,AO07,AO03,AO01,AO04,AO04,AO04,AO06,AO01,AO05,AO04,AO04,AO07,AO04,AO04,AO04,AO04,AO04,AO04,AO04,AO01,AO05,AO01,AO05,AO03,AO04
10,AO05,AO02,AO03,AO04,AO02,AO04,AO05,AO04,AO03,AO03,AO05,AO02,AO03,AO04,AO06,AO04,AO02,AO04,AO03,AO06,AO04,AO04,AO06,AO04,AO04,AO06
11,AO05,AO05,AO04,AO01,AO04,AO04,AO04,AO05,AO03,AO04,AO05,AO03,AO06,AO04,AO04,AO05,AO03,AO04,AO04,AO06,AO03,AO05,AO02,AO04,AO04,AO04
