id,SUStrad[SQ001],SUStrad[SQ002],SUStrad[SQ003],SUStrad[SQ004],SUStrad[SQ005],SUStrad[SQ006],SUStrad[SQ007],SUStrad[SQ008],SUStrad[SQ009],SUStrad[SQ010]
1,AO02,AO03,AO04,AO01,AO04,AO03,AO04,AO01,AO04,AO03
2,AO04,AO02,AO04,AO02,AO04,AO02,AO04,AO03,AO04,AO02
4,AO02,AO02,AO02,AO04,AO04,AO03,AO04,AO02,AO03,AO04
3,AO03,AO02,AO04,AO01,AO04,AO02,AO05,AO04,AO03,AO01
5,AO03,AO02,AO04,AO01,AO03,AO01,AO04,AO02,AO03,AO02
6,AO04,AO01,AO05,AO01,AO03,AO03,AO05,AO01,AO03,AO01
7,AO04,AO02,AO04,AO01,AO05,AO02,AO05,AO02,AO05,AO01
8,AO04,AO02,AO04,AO01,AO05,AO02,AO04,AO01,AO04,AO02
9,AO04,AO01,AO05,AO01,AO04,AO01,AO05,AO01,AO05,AO01
10,AO05,AO02,AO04,AO02,AO04,AO02,AO05,AO02,AO04,AO02
11,AO04,AO05,AO04,AO01,AO03,AO03,AO02,AO03,AO05,AO01
